Brand,Model,RAM,Storage,Url Path
Infinix,Infinix Hot 12 Pro,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-64-gb-6-gb-ram-lightsaber-green-mobile-phone-l6fbmr
Infinix,Infinix Hot 12 Pro,6 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-64-gb-6-gb-ram-electric-blue-mobile-phone-l6fbmr
Infinix,Infinix Hot 11S,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-128-gb-4-gb-ram-silver-mobile-phone-l1kl1u
Infinix,Infinix Hot 11S,4 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-128-gb-4-gb-ram-green-wave-mobile-phone-l1kl2d
Infinix,Infinix Hot 11S,4 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-128-gb-4-gb-ram-black-mobile-phone-l1kl25
Infinix,Infinix Hot 11S,4 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-128-gb-4-gb-ram-purple-mobile-phone-l1kl25
Infinix,Infinix Note 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-64gb-4gb-ram-jewel-blue-mobile-phone-l4cyic
Infinix,Infinix Note 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-64gb-4gb-ram-sunset-gold-mobile-phone-l4cyid
Infinix,Infinix Note 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-64gb-4gb-ram-force-black-mobile-phone-l4cyid
Infinix,Infinix Note 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-64-gb-4-gb-ram-graphite-black-mobile-phone-l1kl1u
Infinix,Infinix Note 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-64-gb-4-gb-ram-celestial-snow-mobile-phone-l1kl20
Infinix,Infinix Note 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-11-64-gb-4-gb-ram-glacier-green-smartphone-l1k9dg
Infinix,Infinix Note 12,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-128gb-6gb-ram-force-black-mobile-phone-l4cyie
Infinix,Infinix Note 12,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-note-12-128gb-6gb-ram-jewel-blue-mobile-phone-l4cyie
Infinix,Infinix Hot 12 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-128-gb-8-gb-ram-racing-black-mobile-phone-l6fbmt
Infinix,Infinix Hot 12 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-128-gb-8-gb-ram-electric-blue-mobile-phone-l6fbmt
Infinix,Infinix Hot 12 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-pro-128-gb-8-gb-ram-lightsaber-green-mobile-phone-l6fbmv
